Target	Tweet	Stance
Climate Change is a Real Concern	Climate change is a threat to all biological life forms including human beings. #law #Legal #Africa #climate #SemST	FAVOR
Climate Change is a Real Concern	Climate change is impacting at least 41% of threatened marine species. We urgently need to address the linked #climate and biodiversity crises, with profound changes to our economic systems, or we risk losing the crucial benefits the oceans provide. #SemST	FAVOR
Climate Change is a Real Concern	Claiming that heavy precipitation events, like the recent #ftlauderdaleflood, are linked to climate change should be looked at with great skeptism due to this . #climate #SemST	AGAINST
Climate Change is a Real Concern	The effects of #climatechange are already affecting millions of people and ecosystems around the world. The time has come for global cooperation and active actions to change the situation. #GlobalCrisis #ThereisaWayOut #CreativeSociety #ClimateCrisis #climate #SemST	FAVOR
Climate Change is a Real Concern	"What happens when we run out of water? Thanks to #climate change, a dystopian premise is coming true ""Climate change is making dry regions drier — and wet regions wetter."" #SemST"	FAVOR
Climate Change is a Real Concern	Decades ago, even the earliest global climate model projections showed wet areas would get wetter and dry areas drier as #climate change accelerated. Now those projections are a reality. This will worsen #water crises in many regions around the world. #SemST	FAVOR
Climate Change is a Real Concern	There was no hole in the OZONE LAYER There wasn’t ACID RAIN There was no GLOBAL WARMING And now because there’s no CLIMATE CRISIS - they’re starting to manufacture their own. WAKE UP PLEASE. #ClimateScam #SemST	AGAINST
Climate Change is a Real Concern	These climate alarmist cultists have forced their sick climate scam on the world for decades now. This country has other more pressing issues to deal with that are real, and not imaginary. #ImpeachBiden #ClimateScam #ClimateCult #NetZero #Agenda21 #Agenda2030 #GreatReset #SemST	AGAINST
Climate Change is a Real Concern	Climate change is a complete fkn joke. #ClimateScam #SemST	AGAINST
Atheism	So far, the people who claim “Atheism is a religion” haven’t been able to reasonably answer my questions. Huh. #SemST	AGAINST
Atheism	Atheism isn't a religion. It's a personal relationship with reality. #atheism NB4229 #SemST	FAVOR
Atheism	Atheism! NOW more than EVER! #HailSatan #SemST	FAVOR
Atheism	"Atheism is most certainly a claim. If I say, ""That yellow ball in the sky is NOT the sun,"" that is a claim that requires evidence. Why is your special atheism any different? Atheism claims the origin of all existence is NOT God. #SemST"	AGAINST
Atheism	Evolution of ignorance (religion) finally reaching enlightenment (atheism). QUORA: Shaun Mootoo Former Intelligence Officer Apr 1 Q: hy aren't atheists ashamed about the fact self-proclaimed scientists on YouTube are showing them misleading videos that falsely claim the origin… #SemST	FAVOR
Atheism	Atheism: because I'd rather live my life without worrying about divine judgment than spend it trying to earn a spot in a gated community in the sky. #SemST	FAVOR
Atheism	Disagree. Atheism is woke and the primary reason all this degeneracy is happening. #SemST	AGAINST
Atheism	When your ideology is atheism and you condemn the ideology Christianity how does that make you impervious to debate? When did atheists become the arbiters of morality? #SemST	AGAINST
Atheism	This is a matter of seeing a tree and missing the forest. We have ample evidence that nonreligious as well as the Left are each not reproducing at anywhere close to replacement levels. Atheism is another form of suicide cult, as is Wokeism. #SemST	AGAINST
Atheism	All religions require some form of hate,. Atheism only requires you to freely think. #SemST #SemST	FAVOR
Atheism	Atheism is just like religion, except without all the guilt, shame, and groveling. So, it's not like religion at all. #SemST #SemST	FAVOR
Atheism	ATHEISM doesn't go ROGUE. It doesn't give people reasons to discriminate and strip the rights of others. It allows people to see REALITY, without having to twist our minds into believing the unbelievable. It doesn't threaten harm or make false promises. Break religious chains #SemST	FAVOR
Atheism	When you realize that Christianity isn't the only religion and atheism exists :0 #SemST	FAVOR
Atheism	Bill Maher is not an intellectual, he's a smart @$$ with a lot of personal opinions that resonate with some. Atheism is more like a cult, replacing God with the worship of man. I, for one, will remain in the league of distinguished men such as these, knowing God exists. #SemST	AGAINST
Atheism	Lol @ equating talking about Atheism to preaching, as though brainwashing wasn't the primary tenet of all religions. #SemST	FAVOR
Atheism	Atheism can’t “teach” you any of this. Atheism has no value set. #SemST	AGAINST
Atheism	Atheism is growing because evangelical Christians prove that they don’t really believe or practice the shit that they want you to live under. #SemST	FAVOR
Atheism	A hill I'm willing to die on is that atheism is the death rattle of Western civilisation. It's what summoned the madness we all have come to witness on the left and the further we dive into atheism the more social insanity will consume what's left of our fledgling civilisation. #SemST	AGAINST
Atheism	The spread of #Christianity owes itself almost exclusively to military conquest #Atheism #SemST	FAVOR
Atheism	Atheism is nihilism, pure and simple and leads to corruption and a disconnection from reality. #SemST	AGAINST
Feminist Movement	Avoid feminazis at all costs . #SemST	AGAINST
Feminist Movement	"Except modern feminazis that makes books to say ""how to kill a man"" #SemST"	AGAINST
Feminist Movement	Feminazis COULD stop fighting for their rights at this point but they just keep making up new ones for themselves. #SemST	AGAINST
Feminist Movement	There is always one of those weird woke &amp; ugly feminazis involved.  LOL #SemST	AGAINST
Feminist Movement	na why when Feminazis dey mouth off about how the world will be bettter without men, i just laugh. there'd be NO world to begin with, without men #SemST	AGAINST
Feminist Movement	"Some #feminist #advisors are always active, giving such horrible ideas, and encouraging others. Look she even says ""Nobody can question and #law will support you"". I am #speechless ....wow #SemST"	AGAINST
Feminist Movement	Feminism for All #feminist #SemST	FAVOR
Feminist Movement	#endperiodpoverty #periods #period #menstruation #Equality #Feminist #always #tampax #Petition #SemST	FAVOR
Feminist Movement	Access to basic sanitation is a human right, yet women and girls still face barriers and stigma. It's time for men to stop treating menstrual hygiene as a taboo topic and start supporting menstrual equity. #Feminist #MenstrualEquity #SemST	FAVOR
Feminist Movement	Being a man is more than the #modrenworld #feminist can comprehend #SemST	AGAINST
Feminist Movement	hey #advertising! guess what! you're not the most #sexist industry! just. http://racked.com/2017/2/6/14383294/menswear-boys-club… #feminist #SemST	FAVOR
Feminist Movement	Not a feminist means a misogynist? #Misogynist #feminist #SemST	AGAINST
Feminist Movement	#feminist always lie. #SemST	AGAINST
Feminist Movement	im a feminist bc i women are equal to men... where tf is that option #SemST	FAVOR
Feminist Movement	In conclusion, until women stop their outrageous sense of entitlement to an equal outcome on an uneven playing field, and realize they are crushing men and hurting their boys, the world will continue to decline. The future is NOT female. The future is EVERYONE. (13) #SemST	AGAINST
Feminist Movement	The future is female #SemST	FAVOR
Feminist Movement	#Feminism Women don't need protection from men. Women are strong, brave and independent. #SemST	FAVOR
Feminist Movement	“I love myself when I am laughing. . . and then again when I am looking mean and impressive.” ― Zora Neale Hurston #Women #Feminism #SemST	FAVOR
Feminist Movement	My bad-ass feminist friend and I are seeing a #play tonight whose #contentwarning includes: 'unapologetically bad-ass #feminism' - what are the chances?! And why would anyone be apologetic about that? You can bet your bad-ass I will report back... #SemST	FAVOR
Feminist Movement	Trans rights don’t cancel out my woman’s rights! #Feminism is radical and inclusive ! #SemST	FAVOR
Feminist Movement	This is the true definition of #feminism today. All they want are the privileges but no responsibilities #feminazi #menmatters #shame #SemST	AGAINST
Feminist Movement	“(…) and still there’s the demonization of the passionate woman even in America today.” #MarianneWilliamson #feminism #wildwoman #spiritualawakening #SemST	FAVOR
